Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;
graben;RFV;FALSE;FALSE;H;H2;
putzen;RFV;FALSE;FALSE;H;H2;
fiedeln;RFV;FALSE;FALSE;H;H2;
stricken;LVF;FALSE;FALSE;H;H2;
knechen;LVF;TRUE;FALSE;H;H2;
stonken;LVF;TRUE;FALSE;H;H2;
scheimeln;RFV;TRUE;FALSE;H;H2;
frilgen;LVF;TRUE;FALSE;H;H2;
bohren;LVF;FALSE;FALSE;H;H2;
truchten;RFV;TRUE;FALSE;H;H2;
hümeln;RFV;TRUE;FALSE;H;H2;
hacken;RFV;FALSE;FALSE;H;H2;
reiben;LVF;FALSE;FALSE;H;H2;
harken;RFV;FALSE;FALSE;H;H2;
hissen;RFV;FALSE;FALSE;H;H2;
spracken;LVF;TRUE;FALSE;H;H2;
schälen;RFV;FALSE;FALSE;H;H2;
flechten;RFV;FALSE;FALSE;H;H2;
bauen;LVF;FALSE;FALSE;H;H2;
krepen;RFV;TRUE;FALSE;H;H2;
nülen;RFV;TRUE;FALSE;H;H2;
lühren;RFV;TRUE;FALSE;H;H2;
reufen;RFV;TRUE;FALSE;H;H2;
sugen;LVF;TRUE;FALSE;H;H2;
"	schnaren";LVF;TRUE;FALSE;H;H2;
toschen;LVF;TRUE;FALSE;H;H2;
sägen;LVF;FALSE;FALSE;H;H2;
reupen;LVF;TRUE;FALSE;H;H2;
weben;LVF;FALSE;FALSE;H;H2;
stopfen;LVF;FALSE;FALSE;H;H2;
rupfen;LVF;FALSE;FALSE;H;H1;
fummeln;LVF;FALSE;FALSE;H;H1;
gießen;LVF;FALSE;FALSE;H;H1;
zwicken;RFV;FALSE;FALSE;H;H1;
getzeln;RFV;TRUE;FALSE;H;H1;
glüppen;LVF;TRUE;FALSE;H;H1;
ritzen;RFV;FALSE;FALSE;H;H1;
schleppen;LVF;FALSE;FALSE;H;H1;
präcken;LVF;TRUE;FALSE;H;H1;
pleifen;RFV;TRUE;FALSE;H;H1;
speßen;RFV;TRUE;FALSE;H;H1;
krutzeln;LVF;TRUE;FALSE;H;H1;
heien;LVF;TRUE;FALSE;H;H1;
pachen;RFV;TRUE;FALSE;H;H1;
zupfen;LVF;FALSE;FALSE;H;H1;
fuppeln;LVF;TRUE;FALSE;H;H1;
schansen;LVF;TRUE;FALSE;H;H1;
zesten;RFV;TRUE;FALSE;H;H1;
geußen;LVF;TRUE;FALSE;H;H1;
tätscheln;RFV;FALSE;FALSE;H;H1;
kiben;LVF;TRUE;FALSE;H;H1;
stoßen;LVF;FALSE;FALSE;H;H1;
pflücken;LVF;FALSE;FALSE;H;H1;
tupfen;RFV;FALSE;FALSE;H;H1;
schubsen;RFV;FALSE;FALSE;H;H1;
supfen;RFV;TRUE;FALSE;H;H1;
kneifen;RFV;FALSE;FALSE;H;H1;
halten;RFV;FALSE;FALSE;H;H1;
kratzen;RFV;FALSE;FALSE;H;H1;
kolten;RFV;TRUE;FALSE;H;H1;
knien;RFV;FALSE;FALSE;F;F;
springen;RFV;FALSE;FALSE;F;F;
speifen;LVF;TRUE;FALSE;F;F;
sprinten;LVF;FALSE;FALSE;F;F;
humpeln;RFV;FALSE;FALSE;F;F;
pondeln;RFV;TRUE;FALSE;F;F;
sprinfen;LVF;TRUE;FALSE;F;F;
fröchten;LVF;TRUE;FALSE;F;F;
fretzen;RFV;TRUE;FALSE;F;F;
steigen;LVF;FALSE;FALSE;F;F;
fliehen;RFV;FALSE;FALSE;F;F;
hüpfen;LVF;FALSE;FALSE;F;F;
spiekeln;RFV;TRUE;FALSE;F;F;
eilen;LVF;FALSE;FALSE;F;F;
stolpern;LVF;FALSE;FALSE;F;F;
stiefeln;LVF;FALSE;FALSE;F;F;
himpeln;LVF;TRUE;FALSE;F;F;
hipfen;RFV;TRUE;FALSE;F;F;
jonnen;RFV;TRUE;FALSE;F;F;
laufen;RFV;FALSE;FALSE;F;F;
stipfen;RFV;TRUE;FALSE;F;F;
plien;LVF;TRUE;FALSE;F;F;
trommen;LVF;TRUE;FALSE;F;F;
gapen;LVF;TRUE;FALSE;F;F;
hocken;RFV;FALSE;FALSE;F;F;
flüchten;RFV;FALSE;FALSE;F;F;
kicken;LVF;FALSE;FALSE;F;F;
wandern;RFV;FALSE;FALSE;F;F;
paseln;LVF;TRUE;FALSE;F;F;
leifen;RFV;TRUE;FALSE;F;F;
fruchen;RFV;TRUE;FALSE;H;H2;
folmen;LVF;TRUE;FALSE;H;H2;
kleben;LVF;FALSE;FALSE;H;H2;
heppen;RFV;TRUE;FALSE;H;H2;
krenen;RFV;TRUE;FALSE;H;H2;
