Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;TRUE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;TRUE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;RVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
REDBAR;LVF;TRUE;FALSE;TRAINING;COLOUR;;;
YELLOWBAR;LVF;FALSE;FALSE;TRAINING;COLOUR;;;
REDBAR;RVF;TRUE;FALSE;TRAINING;COLOUR;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
